Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
paretos,https://www.crunchbase.com/organization/paretos,Growing,69115,"Paretos is the leading AI-based decision intelligence platform to make effective, data-driven decisions across entire organizations, enabling business users to evaluate complex data, predict future scenarios and take optimal actions via a no-code UI and integrations with no prior data science knowledge needed. First success stories of implementing the 100% SaaS solution in E-Commerce, Logistics & Consulting (e.g. Accenture, SNOCKS, or one of the biggest parcel services in Europe) demonstrate the groundbreaking impact paretos delivers as a horizontal platform with a use-case focused approach covering: Recommendation Engines, Dynamic Pricing and Discounting, Ad Spend Optimization, Demand and Churn Prediction as well as Warehouse Optimization.",,"Analytics, Artificial Intelligence (AI), E-Commerce, Industrial, Insurance, Machine Learning, Marketing, Professional Services, Retail, SaaS","Heidelberg, Baden-Wurttemberg, Germany","Paretos is the leading AI-based decision intelligence platform to make effective, data-driven decisions across entire organizations.","1,557",2020-03-01,month,,"Fabian Rang, Thorsten Heilig",Private,"1,607",,2024-10-28,4,Early Stage Venture,8500000,EUR,9194060,Series A,18500000,EUR,19779324,8500000,EUR,9194060,Series A,18500000,EUR,19779324,"UVC Partners, Interface Capital, Acton Capital, LEA Partners, Hannes Ametsreiter",6,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Manufacturing, Other, Sales and Marketing, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://paretos.com,https://www.linkedin.com/company/paretoscom/,hello@paretos.com,11-50
Beyond Aero,https://www.crunchbase.com/organization/beyond-aero,,31100,"Beyond Aero is building the first electric business aircraft powered by hydrogen propulsion, enabling six passengers to fly up to 800 NM (1,500 km)—five times farther than a battery-powered aircraft. Founded in December 2020, the company is redesigning the architecture of a CS23 aircraft around hydrogen-electric propulsion, focusing on fuel cell technology, hydrogen tank integration, and advanced cooling systems. With offices in Toulouse, Paris, and Los Angeles, the startup boasts a team of over 50 highly qualified engineers from leading aerospace companies, actively recruiting 40 more. Beyond Aero has raised more than $44 million, with investors including Giant Ventures, Bpifrance, Initialized Capital, Female Funders Found, and 7 Pourcent Ventures. Beyond Aero also completed Y Combinator in 2022. The company has secured $914 million in Letters of Intent (LOIs) for 108 aircraft and recently completed France's first manned, fully hydrogen-electric flight. Beyond Aero is a member of the World Economic Forum's First Movers Coalition and the Alliance for Zero Emission Aviation, underscoring its commitment to electrify aviation with hydrogen propulsion.",,"Aerospace, Air Transportation, Manufacturing","Toulouse, Midi-Pyrenees, France",Aviation will be electric. Unlocking full potential with hydrogen.,"1,648",2020-12-07,day,,"Eloa Guillotin, Hugo Tarlé, Valentin Chomel",Private,"1,700",,2024-10-25,3,Early Stage Venture,20000000,USD,20000000,Series A,20000000,USD,20000000,20000000,USD,20000000,Series A,20000000,USD,20000000,"Bpifrance, Y Combinator, Giant Ventures, 7percent Ventures, Initialized Capital",12,"Manufacturing, Science and Engineering, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.beyond-aero.com,https://www.linkedin.com/company/beyondaero,,11-50
Syre,https://www.crunchbase.com/organization/syre,Growing,111 36,"Syre is a textile impact company that focuses on hyperscale textile-to-textile recycling, beginning with polyester.",,Textiles,"Stockholm, Stockholms Lan, Sweden",Syre is a textile impact company that decarbonizes the industry via textile-to-textile recycling.,"1,663",2023-01-01,year,,Susanna Campbell,Private,"1,715",,2024-05-23,2,Early Stage Venture,100000000,USD,100000000,Series A,100000000,USD,100000000,100000000,USD,100000000,Series A,100000000,USD,100000000,"TPG Rise Climate Fund, Norrsken VC, Volvo Cars, H&M Group Ventures, Giant Ventures",6,Manufacturing,,"European Union (EU), Nordic Countries, Scandinavia",https://www.syre.com/,https://www.linkedin.com/company/syreimpact/,partner@syre.com,11-50
Cynomi,https://www.crunchbase.com/organization/cynomi,Growing,,"Cynomi provides scalable vCISO services. MSSPs and consulting firms use Cynomi's AI-powered, automated vCISO platform to provide vCISO services at scale – without having to scale their existing resources. Cynomi's multi-tenant platform generates everything a vCISO requires automatically, including risk and compliance assessments, customized security policies, actionable remediation plans with prioritized tasks, task management tools, and customer-facing reports. The company was founded in 2021 and is based in London, England.",,Cyber Security,"London, England, United Kingdom",Cynomi provides full virtual CISO services at scale.,"1,695",2020-01-01,day,,"David Primor, Roy Azoulay",Private,"1,748",,2024-04-16,3,Early Stage Venture,20000000,USD,20000000,Series A,23500000,USD,23500000,20000000,USD,20000000,Series A,23500000,USD,23500000,"Flint Capital, Canaan Partners, s16vc, Lytical Ventures, SeedIL Ventures",7,"Information Technology, Privacy and Security",,"Europe, Middle East, and Africa (EMEA)",https://www.cynomi.com/,https://www.linkedin.com/company/cynomi/,,11-50
Oriole Networks,https://www.crunchbase.com/organization/oriole-networks,Growing,EC1Y 2AA,Oriole Networks is a new company that improve the performance of AI systems and speed up data centers while substantially lowering energy usage for a more sustainable future.,,"Artificial Intelligence (AI), Communication Hardware, Communications Infrastructure, Data Center, Optical Communication","London, England, United Kingdom",Oriole Networks is a startup that speeds up data centers and enhances AI system.,"1,752",2023-01-01,year,,"Alessandro Ottino, Georgios Zervas, James Regan, Joshua Benjamin",Private,"1,814",,2024-10-21,2,Early Stage Venture,22000000,USD,22000000,Series A,34617500,USD,34617500,22000000,USD,22000000,Series A,34617500,USD,34617500,"XTX Ventures, Clean Growth Fund, Plural Platform, UCL Technology Fund, Dorilton Ventures",5,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.oriolenetworks.com,https://www.linkedin.com/company/oriole-networks,,11-50
Paebbl,https://www.crunchbase.com/organization/paebbl,Growing,11143,"Paebbl is a carbon storage company that sells carbon-negative building materials. It captures carbon from industrial facilities or from the air itself to create a carbon-negative material for construction, which accounts for 38% of global carbon emissions. Pol Knops, Jane Walerud, Marta Sjögren, and Andreas Saari founded Paebbl in 2021.",,"Building Material, Carbon Capture, Environmental Engineering, Industrial, Mineral","Stockholm, Stockholms Lan, Sweden",We re-store captured carbon into industrial raw materials,"2,044",2021-01-01,year,,"Andreas Saari, Jane Walerud, Marta Sjogren, Pol Knops",Private,"2,113",,2024-10-09,2,Early Stage Venture,25000000,USD,25000000,Series A,32969723,USD,32969723,25000000,USD,25000000,Series A,32969723,USD,32969723,"Climate Pledge Fund, First Fellow Partners, Capnamic Ventures, Grantham Foundation, Pale blue dot",11,"Manufacturing, Natural Resources, Real Estate, Science and Engineering, Sustainability",,"European Union (EU), Nordic Countries, Scandinavia",https://paebbl.com,https://www.linkedin.com/company/paebbl,hello@paebbl.com,11-50
Little Journey,https://www.crunchbase.com/organization/little-journey,,SE17LL,Little Journey offers assistance to kids and their families who are getting medical treatments or taking part in scientific trials. The company was founded in 2018.,,"Clinical Trials, Health Care, Information Technology","London, England, United Kingdom",Little Journey offers assistance to kids and their families who are getting medical treatments or taking part in scientific trials.,"2,046",2018-08-15,day,,"Chris Evans, Sophie Copley",Private,"2,111",,2024-11-18,7,Early Stage Venture,6000000,GBP,7580380,Series A,15401546,USD,15401546,6000000,GBP,7580380,Series A,10000000,GBP,12718478,"Octopus Ventures, Mercia Ventures, Calm/Storm Ventures, NPIF – Mercia Equity Finance, Par Equity",10,"Health Care, Information Technology",,"Europe, Middle East, and Africa (EMEA)",https://littlejourney.health,https://www.linkedin.com/company/little-journey,chris@littlejourney.health,1-10
Forefront RF,https://www.crunchbase.com/organization/forefront-rf,Growing,CB4 0WS,Forefront RF is a fabless semiconductor company.,,Semiconductor,"Cambridge, Cambridgeshire, United Kingdom",Forefront RF is a fabless semiconductor company.,"2,101",2020-01-01,year,,"Julian Hildersley, Leo Laughlin, Phil O'Donovan",Private,"2,170",,2024-11-07,3,Early Stage Venture,16000000,GBP,20690467,Series A,24200000,GBP,31092448,16000000,GBP,20690467,Series A,24200000,GBP,31092448,"Cambridge Innovation Capital, Octopus Ventures, Business Growth Fund, Foresight Group, SCVC",8,"Hardware, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",https://www.forefrontrf.com,https://www.linkedin.com/company/forefront-rf/,,11-50
Fundcraft,https://www.crunchbase.com/organization/fundcraft,Growing,,"The fundcraft team has created a platform that centralizes, coordinates, and gradually automates all fund activities, including transfer agency, accounting, portfolio and risk management, and compliance, among others.",,"Finance, Financial Services, Risk Management","Luxembourg, Luxembourg, Luxembourg","Fundcraft is a financial firm that offers portfolio management, risk management, valuation, and deal compliance services.","2,102",2020-01-01,year,1,Julien De Mayer,Private,"2,171",,2024-11-04,2,Early Stage Venture,6000000,EUR,6540108,Series A,11000000,EUR,11915082,6000000,EUR,6540108,Series A,11000000,EUR,11915082,"Middlegame Ventures, 3VC, SIX FinTech Ventures, Aperture.co",4,"Financial Services, Professional Services",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.fundcraft.lu/,https://www.linkedin.com/company/fundcraft-services/,,11-50
SurrealDB,https://www.crunchbase.com/organization/surrealdb,Growing,W1D 2LG,"SurrealDB is an innovative, multi-model, cloud-ready database, suitable for modern and traditional applications. Its versatility, and focus on developer experience, along with the ability for deployment on cloud, on-premise, embedded, and in edge computing environments, allows developers and organizations to meet the needs of their applications, without needing to worry about scalability or keeping data consistent across multiple different database platforms.",,"Big Data, Cloud Computing, Database, Developer Platform, Developer Tools, Enterprise Software, Open Source","London, England, United Kingdom",SurrealDB is the ultimate multi-model database for tomorrow's applications,"2,273",2021-09-01,month,,"Jaime Morgan Hitchcock, Tobie Morgan Hitchcock",Private,"2,348",,2024-06-18,2,Early Stage Venture,20000000,USD,20000000,Series A,26000000,USD,26000000,20000000,USD,20000000,Series A,26000000,USD,26000000,"Alumni Ventures, FirstMark, Georgian, Crew Capital",4,"Data and Analytics, Internet Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://surrealdb.com,https://www.linkedin.com/company/surrealdb/,hello@surrealdb.com,11-50
Leya,https://www.crunchbase.com/organization/leya-876d,,,"Leya is a legal technology company that develops an artificial intelligence assistant for legal professionals. Its platform offers reliable, referenced responses by integrating internal knowledge databases and external laws, cases, and regulations. It integrates with law firms’ documents, playbooks, templates, and external legal sources and assists lawyers with specific tasks related to reviewing, searching, and drafting, such as filling in transaction checklists, creating key terms reports, and writing memos to name a few.",,"Artificial Intelligence (AI), Legal, Legal Tech, Software","Stockholm, Stockholms Lan, Sweden",Leya is a legal technology company that develops an artificial intelligence assistant for legal professionals.,"2,345",2023-01-01,year,,"August Erséus, Max Junestrand, Sigge Labor",Private,"2,418",,2024-07-17,3,Early Stage Venture,25000000,USD,25000000,Series A,36000000,USD,36000000,25000000,USD,25000000,Series A,36000000,USD,36000000,"Y Combinator, Benchmark, Redpoint, SV Angel, Wayfinder Ventures",10,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,"European Union (EU), Nordic Countries, Scandinavia",https://leya.law,https://www.linkedin.com/company/leyalaw,max@leya.law,11-50
